연도,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2021,1,김혜성,키움,144,50,46,4,92,4,1
,2,최원준,KIA,143,53,40,13,75.5,6,4
,3,박해민,삼성,127,51,36,15,70.6,4,2
,4,구자욱,삼성,139,31,27,4,87.1,6,0
,5,최지훈,SSG,136,32,26,6,81.3,4,2
,6,추신수,SSG,137,34,25,9,73.5,4,0
,7,홍창기,LG,144,31,23,8,74.2,5,3
,7,김지찬,삼성,120,27,23,4,85.2,4,1
,7,하주석,한화,138,29,23,6,79.3,6,2
,10,조수행,두산,115,25,21,4,84,2,1
,11,알테어,NC,143,25,20,5,80,5,0
,12,배정대,KT,144,26,19,7,73.1,2,0
,12,정은원,한화,139,30,19,11,63.3,6,1
,14,이용규,키움,133,19,17,2,89.5,3,0
,15,심우준,KT,139,22,16,6,72.7,3,1
,16,김기환,NC,62,19,15,4,78.9,3,3
,16,송민섭,KT,122,16,15,1,93.8,0,0
,18,박건우,두산,126,13,13,0,100,6,0
,18,노수광,한화,52,14,13,1,92.9,5,1
,20,박민우,NC,50,15,12,3,80,3,0
,20,정수빈,두산,104,19,12,7,63.2,1,3
,20,조용호,KT,138,21,12,9,57.1,1,0
,20,서건창,LG,144,16,12,4,75,3,0
,20,오지환,LG,134,18,12,6,66.7,6,2
,20,박성한,SSG,135,17,12,5,70.6,3,0
,26,황재균,KT,117,15,11,4,73.3,4,0
,26,손아섭,롯데,139,17,11,6,64.7,7,0
,28,최정원,NC,72,17,10,7,58.8,1,1
,28,강백호,KT,142,15,10,5,66.7,10,2
,28,이정후,키움,123,13,10,3,76.9,2,1
2020,1,심우준,KT,144,46,35,11,76.1,3,1
,2,박해민,삼성,132,46,34,12,73.9,5,3
,3,김혜성,키움,142,33,25,8,75.8,3,2
,4,서건창,키움,135,34,24,10,70.6,9,1
,5,김하성,키움,138,25,23,2,92,6,0
,6,알테어,NC,136,25,22,3,88,4,2
,6,배정대,KT,144,35,22,13,62.9,4,2
,8,김지찬,삼성,135,25,21,4,84,1,2
,9,오지환,LG,141,28,20,8,71.4,9,1
,10,구자욱,삼성,118,24,19,5,79.2,4,2
,11,최지훈,SK,127,24,18,6,75,3,3
,12,이용규,한화,120,25,17,8,68,5,1
,13,정수빈,두산,141,21,15,6,71.4,6,0
,13,오태곤,SK,94,21,15,6,71.4,1,2
,13,박찬호,KIA,141,23,15,8,65.2,3,0
,13,마차도,롯데,144,16,15,1,93.8,7,0
,17,허경민,두산,117,20,14,6,70,4,1
,17,최원준,KIA,123,17,14,3,82.4,5,2
,17,안치홍,롯데,124,17,14,3,82.4,4,0
,20,이유찬,두산,101,17,13,4,76.5,2,0
,20,박민우,NC,126,19,13,6,68.4,5,1
,22,이정후,키움,140,14,12,2,85.7,3,1
,22,김성욱,NC,104,17,12,5,70.6,2,0
,22,이명기,NC,136,19,12,7,63.2,5,1
,22,조용호,KT,132,15,12,3,80,4,1
,26,홍창기,LG,135,16,11,5,68.8,4,1
,26,황재균,KT,134,17,11,6,64.7,3,1
,26,노수광,한화,100,18,11,7,61.1,4,0
,26,정훈,롯데,111,12,11,1,91.7,2,0
,30,오재원,두산,85,15,10,5,66.7,3,1
2019,1,박찬호,KIA,133,45,39,6,86.7,8,3
,2,김하성,키움,139,37,33,4,89.2,3,1
,3,고종욱,SK,137,41,31,10,75.6,8,1
,4,노수광,SK,117,37,27,10,73,7,1
,4,오지환,LG,134,32,27,5,84.4,5,2
,6,정수빈,두산,123,34,26,8,76.5,10,2
,7,박해민,삼성,144,31,24,7,77.4,4,2
,7,심우준,KT,138,27,24,3,88.9,3,1
,9,호잉,한화,124,29,22,7,75.9,6,0
,9,김민혁,KT,127,32,22,10,68.8,2,3
,11,김상수,삼성,129,24,21,3,87.5,3,0
,11,이천웅,LG,138,31,21,10,67.7,3,0
,13,김혜성,키움,122,23,20,3,87,2,0
,14,오태곤,KT,123,21,19,2,90.5,2,0
,15,류지혁,두산,118,23,18,5,78.3,3,1
,15,박민우,NC,125,25,18,7,72,5,0
,17,서건창,키움,113,20,17,3,85,6,3
,18,김강민,SK,127,23,15,8,65.2,3,1
,18,이학주,삼성,118,20,15,5,75,7,0
,18,정주현,LG,129,21,15,6,71.4,4,1
,21,정은원,한화,142,21,14,7,66.7,6,2
,21,이명기,NC,139,18,14,4,77.8,5,1
,23,김재현,SK,83,19,13,6,68.4,2,2
,23,장진혁,한화,113,18,13,5,72.2,7,1
,23,이정후,키움,140,20,13,7,65,4,0
,23,민병헌,롯데,101,19,13,6,68.4,6,0
,23,손아섭,롯데,134,21,13,8,61.9,3,1
,28,박건우,두산,127,15,12,3,80,9,1
,28,김태진,NC,123,16,12,4,75,6,2
,30,허경민,두산,133,16,11,5,68.8,7,2
2018,1,박해민,삼성,144,46,36,10,78.3,7,1
,2,버나디나,KIA,131,45,32,13,71.1,6,3
,3,김혜성,넥센,136,37,31,6,83.8,6,3
,4,이용규,한화,134,41,30,11,73.2,8,0
,5,노수광,SK,135,29,25,4,86.2,6,1
,6,호잉,한화,142,32,23,9,71.9,4,2
,7,김헌곤,삼성,141,31,22,9,71,8,1
,8,허경민,두산,133,24,20,4,83.3,6,0
,8,손아섭,롯데,141,23,20,3,87,5,1
,10,정주현,LG,115,21,18,3,85.7,3,0
,10,로하스,KT,144,31,18,13,58.1,5,2
,12,박민우,NC,115,22,17,5,77.3,4,1
,12,고종욱,넥센,102,21,17,4,81,6,0
,14,임병욱,넥센,134,19,16,3,84.2,3,0
,15,오재원,두산,132,21,15,6,71.4,5,2
,15,나성범,NC,144,17,15,2,88.2,3,2
,17,하주석,한화,141,26,14,12,53.8,3,2
,17,황재균,KT,142,21,14,7,66.7,8,0
,19,이상호,NC,114,18,13,5,72.2,3,1
,19,오태곤,KT,128,21,13,8,61.9,4,0
,21,이명기,KIA,120,17,12,5,70.6,5,0
,21,나경민,롯데,87,16,12,4,75,2,2
,21,김상수,삼성,122,21,12,9,57.1,2,0
,21,김성훈,삼성,110,18,12,6,66.7,3,0
,25,김성욱,NC,111,13,11,2,84.6,4,0
,25,김동엽,SK,124,13,11,2,84.6,5,2
,25,정진기,SK,96,14,11,3,78.6,1,0
,25,이정후,넥센,109,15,11,4,73.3,5,3
,25,심우준,KT,135,22,11,11,50,2,0
,30,최원준,KIA,101,14,10,4,71.4,3,0
2017,1,박해민,삼성,144,52,40,12,76.9,3,2
,2,버나디나,KIA,139,39,32,7,82.1,8,1
,3,손아섭,롯데,144,33,25,8,75.8,4,0
,4,이대형,KT,100,27,23,4,85.2,0,2
,5,박건우,두산,131,23,20,3,87,3,1
,5,나경민,롯데,97,23,20,3,87,9,1
,7,심우준,KT,103,23,18,5,78.3,2,2
,8,나성범,NC,125,24,17,7,70.8,3,2
,9,고종욱,넥센,123,20,16,4,80,4,0
,9,김하성,넥센,141,24,16,8,66.7,6,0
,9,노수광,SK,131,25,16,9,64,2,1
,12,서건창,넥센,139,21,15,6,71.4,4,0
,12,오태곤,KT,135,24,15,9,62.5,5,1
,14,이상호,NC,95,14,12,2,85.7,4,1
,14,이정후,넥센,144,16,12,4,75,6,0
,14,강한울,삼성,135,19,12,7,63.2,4,0
,17,박민우,NC,106,12,11,1,91.7,4,0
,17,이형종,LG,128,17,11,6,64.7,2,0
,17,조용호,SK,69,13,11,2,84.6,3,1
,17,김헌곤,삼성,123,13,11,2,84.6,3,2
,21,김성욱,NC,124,14,10,4,71.4,2,0
,21,오지환,LG,107,15,10,5,66.7,4,1
,21,김강민,SK,88,14,10,4,71.4,0,1
,21,로사리오,한화,119,15,10,5,66.7,6,1
,21,이용규,한화,57,13,10,3,76.9,1,2
,21,번즈,롯데,116,17,10,7,58.8,12,2
,21,구자욱,삼성,144,14,10,4,71.4,3,0
,28,모창민,NC,136,15,9,6,60,6,1
,28,이재율,NC,52,10,9,1,90,2,1
,28,이종욱,NC,107,11,9,2,81.8,4,0
2016,1,박해민,삼성,141,67,52,15,77.6,6,2
,2,손아섭,롯데,144,46,42,4,91.3,10,1
,3,이대형,KT,143,57,37,20,64.9,2,2
,4,고종욱,넥센,133,42,28,14,66.7,9,2
,4,김하성,넥센,144,43,28,15,65.1,4,0
,6,서건창,넥센,140,39,26,13,66.7,9,1
,7,황재균,롯데,127,35,25,10,71.4,5,2
,8,정근우,한화,138,28,22,6,78.6,8,2
,9,이용규,한화,113,32,21,11,65.6,2,1
,10,박민우,NC,121,26,20,6,76.9,1,0
,11,김호령,KIA,124,29,19,10,65.5,8,2
,11,김용의,LG,105,26,19,7,73.1,4,1
,13,히메네스,LG,135,27,18,9,66.7,9,2
,14,박건우,두산,132,23,17,6,73.9,8,1
,14,임병욱,넥센,104,23,17,6,73.9,3,2
,14,오지환,LG,121,26,17,9,65.4,4,2
,14,심우준,KT,122,18,17,1,94.4,2,1
,18,박정음,넥센,98,25,16,9,64,4,1
,18,유재신,넥센,93,23,16,7,69.6,0,0
,18,고메즈,SK,117,24,16,8,66.7,6,0
,21,이종욱,NC,134,18,15,3,83.3,4,0
,21,아두치,롯데,64,17,15,2,88.2,3,0
,23,이명기,SK,99,22,14,8,63.6,5,0
,24,오재원,두산,122,23,13,10,56.5,3,1
,24,김종호,NC,93,19,13,6,68.4,5,0
,24,테임즈,NC,123,17,13,4,76.5,4,1
,24,김재현,SK,100,20,13,7,65,2,0
,28,정수빈,두산,114,16,12,4,75,5,0
,28,김강민,SK,115,17,12,5,70.6,8,0
,28,노수광,KIA,77,14,12,2,85.7,0,2
2015,1,박해민,삼성,144,68,60,8,88.2,6,2
,2,박민우,NC,141,62,46,16,74.2,3,5
,3,이대형,KT,140,58,44,14,75.9,6,1
,4,김종호,NC,133,51,41,10,80.4,4,1
,5,테임즈,NC,142,48,40,8,83.3,10,1
,6,오재원,두산,120,39,31,8,79.5,3,2
,7,이용규,한화,124,38,28,10,73.7,8,2
,8,김상수,삼성,132,31,26,5,83.9,2,0
,9,오지환,LG,138,35,25,10,71.4,7,1
,10,아두치,롯데,132,34,24,10,70.6,5,0
,11,나성범,NC,144,27,23,4,85.2,4,1
,12,나바로,삼성,140,28,22,6,78.6,2,0
,12,고종욱,넥센,119,36,22,14,61.1,9,2
,12,김하성,넥센,140,26,22,4,84.6,9,2
,12,이명기,SK,137,32,22,10,68.8,6,3
,16,정근우,한화,126,27,21,6,77.8,7,3
,17,신종길,KIA,99,24,19,5,79.2,1,1
,18,조동화,SK,119,21,18,3,85.7,1,1
,19,구자욱,삼성,116,24,17,7,70.8,5,1
,19,이종욱,NC,125,21,17,4,81,3,0
,21,정훈,롯데,135,22,16,6,72.7,6,0
,22,정수빈,두산,128,24,15,9,62.5,5,0
,22,오태곤,롯데,122,19,15,4,78.9,3,1
,22,김지열,KT,72,20,15,5,75,4,2
,25,최재원,NC,114,19,14,5,73.7,1,1
,25,필,KIA,143,24,14,10,58.3,6,1
,27,박찬도,삼성,116,19,13,6,68.4,1,0
,28,김민혁,KT,82,19,12,7,63.2,1,1
,29,이택근,넥센,105,17,11,6,64.7,10,2
,29,김용의,LG,71,17,11,6,64.7,2,1
2014,1,김상수,삼성,128,59,53,6,89.8,6,2
,2,박민우,NC,118,60,50,10,83.3,5,2
,3,서건창,넥센,128,65,48,17,73.8,12,3
,4,조동화,SK,125,44,37,7,84.1,2,4
,5,박해민,삼성,119,44,36,8,81.8,6,3
,6,오재원,두산,110,40,33,7,82.5,7,2
,7,정수빈,두산,128,37,32,5,86.5,2,4
,7,김강민,SK,113,37,32,5,86.5,7,2
,7,정근우,한화,125,35,32,3,91.4,5,0
,10,오지환,LG,113,40,28,12,70,4,1
,11,나바로,삼성,125,34,25,9,73.5,8,0
,12,김종호,NC,113,29,22,7,75.9,4,1
,12,김주찬,KIA,100,32,22,10,68.8,7,0
,12,이대형,KIA,126,37,22,15,59.5,8,1
,15,신종길,KIA,103,27,20,7,74.1,2,2
,16,안치홍,KIA,126,25,19,6,76,5,1
,17,황재균,롯데,128,27,17,10,63,5,0
,18,민병헌,두산,124,24,16,8,66.7,5,0
,19,이종욱,NC,124,19,15,4,78.9,3,0
,20,나성범,NC,123,19,14,5,73.7,3,1
,20,모창민,NC,122,17,14,3,82.4,4,0
,22,이용규,한화,104,23,12,11,52.2,4,2
,23,박용택,LG,124,20,11,9,55,5,1
,23,이택근,넥센,122,19,11,8,57.9,5,3
,23,이상호,NC,96,16,11,5,68.8,3,0
,23,테임즈,NC,125,13,11,2,84.6,5,1
,27,정성훈,LG,112,12,10,2,83.3,7,1
,27,손아섭,롯데,122,13,10,3,76.9,0,0
,27,나주환,SK,127,13,10,3,76.9,3,0
,27,필,KIA,92,11,10,1,90.9,3,1
2013,1,김종호,NC,128,64,50,14,78.1,0,0
,2,손아섭,롯데,128,43,36,7,83.7,0,0
,3,오재원,두산,113,44,33,11,75,0,0
,4,이종욱,두산,110,37,30,7,81.1,0,0
,4,오지환,LG,124,37,30,7,81.1,0,0
,6,신종길,KIA,104,35,29,6,82.9,0,0
,6,이택근,넥센,123,37,29,8,78.4,0,0
,8,정근우,SK,112,39,28,11,71.8,0,0
,8,김선빈,KIA,88,42,28,14,66.7,0,0
,10,민병헌,두산,119,35,27,8,77.1,0,0
,11,서건창,넥센,86,33,26,7,78.8,0,0
,12,이상호,NC,103,29,25,4,86.2,0,0
,13,조동화,SK,105,33,24,9,72.7,0,0
,13,최정,SK,120,32,24,8,75,0,0
,15,배영섭,삼성,113,33,23,10,69.7,0,0
,15,정수빈,두산,125,31,23,8,74.2,0,0
,15,김주찬,KIA,47,26,23,3,88.5,0,0
,18,황재균,롯데,128,33,22,11,66.7,0,0
,19,이용규,KIA,100,30,21,9,70,0,0
,19,김용의,LG,109,28,21,7,75,0,0
,21,장민석,넥센,115,31,20,11,64.5,0,0
,22,전준우,롯데,128,27,19,8,70.4,0,0
,23,안치홍,KIA,118,17,16,1,94.1,0,0
,23,이시찬,한화,97,19,16,3,84.2,0,0
,23,모창민,NC,108,19,16,3,84.2,0,0
,26,강정호,넥센,126,23,15,8,65.2,0,0
,27,김상수,삼성,115,19,14,5,73.7,0,0
,27,박재상,SK,103,15,14,1,93.3,0,0
,27,허경민,두산,75,18,14,4,77.8,0,0
,30,박용택,LG,125,21,13,8,61.9,0,0
2012,1,이용규,KIA,125,56,44,12,78.6,0,0
,2,서건창,넥센,127,51,39,12,76.5,0,0
,3,김주찬,롯데,118,45,32,13,71.1,0,0
,3,장민석,넥센,116,42,32,10,76.2,0,0
,5,김선빈,KIA,126,42,30,12,71.4,0,0
,5,박용택,LG,127,38,30,8,78.9,0,0
,7,배영섭,삼성,122,33,27,6,81.8,0,0
,8,황재균,롯데,133,34,26,8,76.5,0,0
,9,김상수,삼성,129,36,25,11,69.4,0,0
,9,이대형,LG,101,28,25,3,89.3,0,0
,11,정수빈,두산,101,30,24,6,80,0,0
,12,오지환,LG,133,37,23,14,62.2,0,0
,13,정형식,삼성,118,26,22,4,84.6,0,0
,13,정근우,SK,127,34,22,12,64.7,0,0
,15,전준우,롯데,122,29,21,8,72.4,0,0
,15,이종욱,두산,121,29,21,8,72.4,0,0
,15,강정호,넥센,124,26,21,5,80.8,0,0
,18,최정,SK,130,28,20,8,71.4,0,0
,18,안치홍,KIA,132,23,20,3,87,0,0
,18,박병호,넥센,133,29,20,9,69,0,0
,21,정수성,넥센,87,28,19,9,67.9,0,0
,22,강명구,삼성,72,18,15,3,83.3,0,0
,23,오재원,두산,77,16,14,2,87.5,0,0
,23,오선진,한화,110,23,14,9,60.9,0,0
,25,이택근,넥센,94,21,13,8,61.9,0,0
,26,조동찬,삼성,94,15,12,3,80,0,0
,26,김재현,SK,84,17,12,5,70.6,0,0
,26,양영동,LG,72,12,12,0,100,0,0
,29,김강민,SK,123,21,11,10,52.4,0,0
,30,손아섭,롯데,132,15,10,5,66.7,0,0
2011,1,오재원,두산,129,53,46,7,86.8,0,0
,2,이대형,LG,104,51,34,17,66.7,0,0
,3,배영섭,삼성,99,41,33,8,80.5,0,0
,4,정수빈,두산,128,39,31,8,79.5,0,0
,5,이용규,KIA,111,36,30,6,83.3,0,0
,6,김상수,삼성,128,36,29,7,80.6,0,0
,7,김주찬,롯데,86,35,25,10,71.4,0,0
,8,전준우,롯데,133,32,23,9,71.9,0,0
,8,신종길,KIA,116,29,23,6,79.3,0,0
,8,김민우,넥센,126,32,23,9,71.9,0,0
,11,김선빈,KIA,98,31,22,9,71,0,0
,12,정근우,SK,90,29,20,9,69,0,0
,12,이종욱,두산,121,35,20,15,57.1,0,0
,14,강명구,삼성,89,23,19,4,82.6,0,0
,15,조동찬,삼성,85,19,18,1,94.7,0,0
,16,강동우,한화,133,32,17,15,53.1,0,0
,17,한상훈,한화,131,26,16,10,61.5,0,0
,18,최정,SK,113,20,15,5,75,0,0
,18,이여상,한화,120,19,15,4,78.9,0,0
,20,이영욱,삼성,111,20,14,6,70,0,0
,21,박재상,SK,93,18,13,5,72.2,0,0
,21,신명철,삼성,117,23,13,10,56.5,0,0
,21,손아섭,롯데,116,17,13,4,76.5,0,0
,21,박용택,LG,115,16,13,3,81.3,0,0
,25,황재균,롯데,117,18,12,6,66.7,0,0
,25,김민성,넥센,124,15,12,3,80,0,0
,27,장민석,넥센,84,18,11,7,61.1,0,0
,28,조동화,SK,114,16,10,6,62.5,0,0
,28,박경수,LG,111,18,10,8,55.6,0,0
,28,이택근,LG,85,16,10,6,62.5,0,0
2010,1,이대형,LG,130,87,66,21,75.9,0,0
,2,김주찬,롯데,118,84,65,19,77.4,0,0
,3,장민석,넥센,119,55,41,14,74.5,0,0
,4,오재원,두산,123,45,35,10,77.8,0,0
,5,정근우,SK,128,46,33,13,71.7,0,0
,5,조동찬,삼성,95,38,33,5,86.8,0,0
,7,이종욱,두산,114,43,30,13,69.8,0,0
,7,김상수,삼성,101,36,30,6,83.3,0,0
,7,이영욱,삼성,120,38,30,8,78.9,0,0
,10,김민우,넥센,128,34,28,6,82.4,0,0
,11,이용규,KIA,129,37,25,12,67.6,0,0
,11,전현태,한화,100,33,25,8,75.8,0,0
,13,김선빈,KIA,115,30,23,7,76.7,0,0
,13,김강민,SK,115,32,23,9,71.9,0,0
,15,김일경,넥센,104,27,21,6,77.8,0,0
,16,신명철,삼성,125,29,20,9,69,0,0
,17,박용택,LG,107,23,19,4,82.6,0,0
,18,안치홍,KIA,133,23,18,5,78.3,0,0
,18,황재균,롯데,94,25,18,7,72,0,0
,20,박정권,SK,124,22,17,5,77.3,0,0
,21,신종길,KIA,58,18,16,2,88.9,0,0
,21,전준우,롯데,114,23,16,7,69.6,0,0
,23,김원섭,KIA,111,21,15,6,71.4,0,0
,23,조동화,SK,115,17,15,2,88.2,0,0
,25,나주환,SK,100,20,14,6,70,0,0
,25,이택근,LG,91,20,14,6,70,0,0
,25,강동우,한화,98,20,14,6,70,0,0
,25,정원석,한화,118,23,14,9,60.9,0,0
,29,정수빈,두산,76,16,13,3,81.3,0,0
,29,오지환,LG,125,15,13,2,86.7,0,0
2009,1,이대형,LG,133,82,64,18,78,0,0
,2,정근우,SK,127,66,53,13,80.3,0,0
,3,이택근,히어로즈,123,51,43,8,84.3,0,0
,4,이종욱,두산,82,43,37,6,86,0,0
,5,김주찬,롯데,109,41,34,7,82.9,0,0
,6,박재상,SK,133,44,33,11,75,0,0
,7,김일경,히어로즈,107,42,30,12,71.4,0,0
,7,황재균,히어로즈,133,45,30,15,66.7,0,0
,9,강동우,한화,128,30,27,3,90,0,0
,10,클락,히어로즈,125,31,23,8,74.2,0,0
,11,박용택,LG,111,25,22,3,88,0,0
,12,나주환,SK,118,30,21,9,70,0,0
,12,신명철,삼성,124,27,21,6,77.8,0,0
,12,조동찬,삼성,75,22,21,1,95.5,0,0
,12,정수성,히어로즈,87,27,21,6,77.8,0,0
,16,강봉규,삼성,126,23,20,3,87,0,0
,16,김원섭,KIA,101,30,20,10,66.7,0,0
,18,박용근,LG,101,25,19,6,76,0,0
,19,민병헌,두산,115,23,18,5,78.3,0,0
,19,김상수,삼성,97,24,18,6,75,0,0
,21,이영욱,삼성,88,20,16,4,80,0,0
,22,박재홍,SK,113,19,15,4,78.9,0,0
,22,추승우,한화,105,19,15,4,78.9,0,0
,24,정수빈,두산,85,20,13,7,65,0,0
,24,조성환,롯데,76,15,13,2,86.7,0,0
,26,고영민,두산,85,16,12,4,75,0,0
,26,오재원,두산,106,15,12,3,80,0,0
,26,이우민,롯데,102,15,12,3,80,0,0
,29,최정,SK,99,11,11,0,100,0,0
,29,임재철,두산,121,16,11,5,68.8,0,0
2008,1,이대형,LG,126,78,63,15,80.8,0,0
,2,이종욱,두산,122,55,47,8,85.5,0,0
,3,정근우,SK,124,60,40,20,66.7,0,0
,4,고영민,두산,126,48,39,9,81.3,0,0
,5,김주찬,롯데,104,50,32,18,64,0,0
,6,조성환,롯데,123,34,31,3,91.2,0,0
,7,오재원,두산,117,35,28,7,80,0,0
,7,이용규,KIA,106,37,28,9,75.7,0,0
,9,클락,한화,125,30,25,5,83.3,0,0
,10,정수근,롯데,80,37,24,13,64.9,0,0
,11,박재상,SK,94,30,21,9,70,0,0
,11,김원섭,KIA,106,29,21,8,72.4,0,0
,13,조동화,SK,103,22,19,3,86.4,0,0
,13,최정,SK,114,27,19,8,70.4,0,0
,13,추승우,한화,119,24,19,5,79.2,0,0
,16,민병헌,두산,87,24,18,6,75,0,0
,16,이택근,우리,110,24,18,6,75,0,0
,18,김강민,SK,106,24,16,8,66.7,0,0
,18,박용택,LG,96,22,16,6,72.7,0,0
,18,박기혁,롯데,113,23,16,7,69.6,0,0
,18,전준호,우리,114,27,16,11,59.3,0,0
,18,정수성,우리,76,22,16,6,72.7,0,0
,23,장성호,KIA,85,20,15,5,75,0,0
,24,나주환,SK,118,19,14,5,73.7,0,0
,25,김현수,두산,126,21,13,8,61.9,0,0
,25,김민재,한화,114,16,13,3,81.3,0,0
,25,김종국,KIA,113,16,13,3,81.3,0,0
,25,발데스,KIA,47,17,13,4,76.5,0,0
,29,이진영,SK,95,18,12,6,66.7,0,0
,29,김재호,두산,112,15,12,3,80,0,0
2007,1,이대형,LG,125,73,53,20,72.6,0,0
,2,이종욱,두산,123,61,47,14,77,0,0
,3,고영민,두산,126,46,36,10,78.3,0,0
,4,민병헌,두산,119,39,30,9,76.9,0,0
,5,조동화,SK,121,31,25,6,80.6,0,0
,6,정근우,SK,111,34,24,10,70.6,0,0
,7,김주찬,롯데,113,30,22,8,73.3,0,0
,8,박재상,SK,123,28,21,7,75,0,0
,9,양준혁,삼성,123,28,20,8,71.4,0,0
,9,박용택,LG,126,22,20,2,90.9,0,0
,11,신명철,삼성,126,28,19,9,67.9,0,0
,11,김강민,SK,124,29,19,10,65.5,0,0
,13,김재걸,삼성,116,24,17,7,70.8,0,0
,13,이용규,KIA,118,28,17,11,60.7,0,0
,15,강명구,삼성,68,16,13,3,81.3,0,0
,15,김종국,KIA,93,16,13,3,81.3,0,0
,17,전준호,현대,121,19,11,8,57.9,0,0
,17,김동주,두산,119,13,11,2,84.6,0,0
,17,이우민,롯데,75,19,11,8,57.9,0,0
,17,권용관,LG,121,15,11,4,73.3,0,0
,21,박한이,삼성,123,13,10,3,76.9,0,0
,21,고동진,한화,124,14,10,4,71.4,0,0
,21,송지만,현대,120,14,10,4,71.4,0,0
,21,박재홍,SK,115,17,10,7,58.8,0,0
,21,정수근,롯데,105,15,10,5,66.7,0,0
,21,박경수,LG,115,13,10,3,76.9,0,0
,27,김일경,현대,117,12,9,3,75,0,0
,27,김원섭,KIA,114,18,9,9,50,0,0
,27,장성호,KIA,116,13,9,4,69.2,0,0
,27,전상렬,두산,75,14,9,5,64.3,0,0
2006,1,이종욱,두산,120,58,51,7,87.9,0,0
,2,정근우,SK,120,55,45,10,81.8,0,0
,3,이용규,KIA,125,49,38,11,77.6,0,0
,4,박용택,LG,126,28,25,3,89.3,0,0
,5,박재홍,SK,124,30,22,8,73.3,0,0
,6,강명구,삼성,91,27,21,6,77.8,0,0
,7,조동찬,삼성,107,24,20,4,83.3,0,0
,7,전준호,현대,109,27,20,7,74.1,0,0
,9,정수근,롯데,83,23,19,4,82.6,0,0
,10,민병헌,두산,80,20,17,3,85,0,0
,11,전상렬,두산,98,17,16,1,94.1,0,0
,11,고동진,한화,120,20,16,4,80,0,0
,11,김종국,KIA,111,21,16,5,76.2,0,0
,14,박한이,삼성,126,25,15,10,60,0,0
,14,이대형,LG,87,23,15,8,65.2,0,0
